model_name,clean_accuracy,noisy_accuracy,drop_accuracy,clean_precision,noisy_precision,drop_precision,clean_recall,noisy_recall,drop_recall,clean_macro_f1,noisy_macro_f1,drop_macro_f1,clean_weighted_f1,noisy_weighted_f1,drop_weighted_f1
BiLSTM,0.6524300441826215,0.619440353460972,0.033,0.49478007502515114,0.4448419442551832,0.0499,0.47831879361819124,0.42303395818882716,0.0553,0.48540812703235314,0.4279859764979902,0.0574,0.6511434870963887,0.6173592369130382,0.0338
BiLSTM+Attention,0.635640648011782,0.6023564064801178,0.0333,0.5085455811081319,0.4826389260440915,0.0259,0.48595464632318475,0.4325462009646889,0.0534,0.4920701384935252,0.439528112873421,0.0525,0.6420869174380418,0.6093230327059018,0.0328
DistilBERT,0.6706921944035346,0.6662739322533137,0.0044,0.5351842029459453,0.5191794874175745,0.016,0.5507297345149086,0.5327779717371245,0.018,0.5420674755468757,0.5227659407603922,0.0193,0.6772347276103873,0.6650617251200082,0.0122
BERT-base,0.6824742268041237,0.6736377025036819,0.0088,0.5636115027955715,0.5544166528517818,0.0092,0.5689800497267792,0.5175442087547644,0.0514,0.5645899858025742,0.5321874658399008,0.0324,0.6890677906844818,0.6719997736741098,0.0171
