accuracy,precision,recall,macro_f1,weighted_f1,mae,model_name,num_parameters,model_size_mb,total_inference_time_sec,total_samples,inference_time_per_sample_ms
0.6524300441826215,0.49478007502515114,0.47831879361819124,0.48540812703235314,0.6511434870963887,0.4117820324005891,bilstm_weighted_ce,3997701,15.25,1.9896,3395,0.586
0.5431516936671575,0.37792591493491656,0.4253499031711196,0.3825105471585097,0.5543524012972504,0.678939617083947,bilstm_undersample_ce,3166213,12.08,1.996,3395,0.5879
0.635640648011782,0.5085455811081319,0.48595464632318475,0.4920701384935252,0.6420869174380418,0.41502209131075113,bilstm_attention_weighted_ce,3998213,15.25,2.0158,3395,0.5938
0.5469808541973491,0.4350820931282507,0.4515031986031346,0.4353768974535123,0.569192477905851,0.5522827687776142,bilstm_attention_undersample_ce,3166725,12.08,2.0146,3395,0.5934
0.5490427098674522,0.2900724034602907,0.296063071434977,0.28257767188506433,0.5301954776888713,0.6070692194403534,distilbert_freeze_weighted_ce,66366725,253.17,11.4842,3395,3.3827
0.4309278350515464,0.26343125585655547,0.2353374516404251,0.1944477093805221,0.40330057389613777,0.9458026509572901,distilbert_freeze_undersample_ce,66366725,253.17,11.4812,3395,3.3818
0.6706921944035346,0.5351842029459453,0.5507297345149086,0.5420674755468757,0.6772347276103873,0.3687776141384389,distilbert_full_weighted_ce,66366725,253.17,11.4658,3395,3.3772
0.6306332842415316,0.497130667260474,0.5536816143325562,0.5181253345663203,0.6432076923236666,0.43475699558173786,distilbert_full_undersample_ce,66366725,253.17,11.4821,3395,3.3821
0.6630338733431517,0.5453134796639569,0.5470311942546806,0.5409374242941645,0.6732857691850651,0.37731958762886597,distilbert_llrd_weighted_ce,66366725,253.17,11.496,3395,3.3862
0.6344624447717231,0.4995552308953525,0.5564693699600347,0.5204626473154408,0.6472067323055022,0.43151693667157587,distilbert_llrd_undersample_ce,66366725,253.17,11.4946,3395,3.3857
0.4901325478645066,0.2600809327754018,0.26072205140906063,0.25251058028543205,0.4682178934520609,0.7734904270986745,bert_freeze_weighted_ce,109486085,417.66,22.8668,3395,6.7354
0.3711340206185567,0.23634446373768667,0.23625748524823073,0.22665972412514196,0.4032455508490681,1.2005891016200294,bert_freeze_undersample_ce,109486085,417.66,22.8796,3395,6.7392
0.6771723122238587,0.5631820604362717,0.5448952953918808,0.5471287145615364,0.6851323217260291,0.3508100147275405,bert_full_weighted_ce,109486085,417.66,22.9064,3395,6.7471
0.656259204712813,0.52955429673596,0.5789622260816405,0.5490274150145329,0.6671216480540565,0.39322533136966126,bert_full_undersample_ce,109486085,417.66,22.9127,3395,6.7489
0.6824742268041237,0.5636115027955715,0.5689800497267792,0.5645899858025742,0.6890677906844818,0.35051546391752575,bert_llrd_weighted_ce,109486085,417.66,22.9258,3395,6.7528
0.6580265095729013,0.5190356108473956,0.5424413125302795,0.5247189770033712,0.6614646813353877,0.3882179675994109,bert_llrd_undersample_ce,109486085,417.66,22.9244,3395,6.7524
