model_a,model_b,accuracy,precision,recall,macro_f1,weighted_f1,mae,alpha
BERT-full-undersample,BERT-full-weighted,0.6851251840942563,0.571727305190637,0.5581679921915945,0.5589249636470299,0.6929257149184874,0.34403534609720177,0.3
BERT-full-undersample,BERT-full-weighted,0.6863033873343152,0.5680813278714647,0.5612313719328761,0.55985144559993,0.6942758957310058,0.3434462444771723,0.4
BERT-full-undersample,BERT-full-weighted,0.6833578792341679,0.5660338539450095,0.5687597569409085,0.5646890285453251,0.6917373482088922,0.3487481590574374,0.5
BERT-full-undersample,BERT-full-weighted,0.6721649484536083,0.5491571287928566,0.5700476520632675,0.5579305977489439,0.6817345737559194,0.3640648011782032,0.6
BERT-full-undersample,BERT-full-weighted,0.6645066273932253,0.5355286165465639,0.5693941725150389,0.5498401567054705,0.6746514880139426,0.3784977908689249,0.7
